store_id,transaction_id,timestamp,basket_value_inr
STORE_BLR_002,TXN_00001,2026-03-08T10:05:22Z,890.00
STORE_BLR_002,TXN_00002,2026-03-08T10:12:45Z,1540.00
STORE_BLR_002,TXN_00003,2026-03-08T10:28:10Z,675.00
STORE_BLR_002,TXN_00004,2026-03-08T10:45:33Z,2280.00
STORE_BLR_002,TXN_00005,2026-03-08T11:02:18Z,1120.00
STORE_BLR_002,TXN_00006,2026-03-08T11:15:40Z,3450.00
STORE_BLR_002,TXN_00007,2026-03-08T11:28:55Z,760.00
STORE_BLR_002,TXN_00008,2026-03-08T11:42:12Z,1890.00
STORE_BLR_002,TXN_00009,2026-03-08T11:58:30Z,520.00
STORE_BLR_002,TXN_00010,2026-03-08T12:10:08Z,1340.00
STORE_BLR_002,TXN_00011,2026-03-08T12:22:44Z,4120.00
STORE_BLR_002,TXN_00012,2026-03-08T12:38:15Z,980.00
STORE_BLR_002,TXN_00013,2026-03-08T12:55:30Z,2650.00
STORE_BLR_002,TXN_00014,2026-03-08T13:08:22Z,1470.00
STORE_BLR_002,TXN_00015,2026-03-08T13:25:48Z,830.00
STORE_BLR_002,TXN_00016,2026-03-08T13:40:10Z,3180.00
STORE_BLR_002,TXN_00017,2026-03-08T13:55:35Z,1050.00
STORE_BLR_002,TXN_00018,2026-03-08T14:12:20Z,2890.00
STORE_BLR_002,TXN_00019,2026-03-08T14:28:45Z,640.00
STORE_BLR_002,TXN_00020,2026-03-08T14:42:10Z,1760.00
STORE_BLR_002,TXN_00021,2026-03-08T15:05:30Z,4580.00
STORE_BLR_002,TXN_00022,2026-03-08T15:18:12Z,920.00
STORE_BLR_002,TXN_00023,2026-03-08T15:32:48Z,1280.00
STORE_BLR_002,TXN_00024,2026-03-08T15:50:05Z,3720.00
STORE_BLR_002,TXN_00025,2026-03-08T16:02:30Z,1150.00
STORE_BLR_002,TXN_00026,2026-03-08T16:18:44Z,2340.00
STORE_BLR_002,TXN_00027,2026-03-08T16:35:20Z,780.00
STORE_BLR_002,TXN_00028,2026-03-08T16:48:55Z,1620.00
STORE_BLR_002,TXN_00029,2026-03-08T17:05:10Z,4950.00
STORE_BLR_002,TXN_00030,2026-03-08T17:18:38Z,1380.00
STORE_BLR_002,TXN_00031,2026-03-08T17:32:22Z,560.00
STORE_BLR_002,TXN_00032,2026-03-08T17:48:45Z,2710.00
STORE_BLR_002,TXN_00033,2026-03-08T18:02:15Z,1940.00
STORE_BLR_002,TXN_00034,2026-03-08T18:10:30Z,850.00
STORE_BLR_002,TXN_00035,2026-03-08T18:15:00Z,1240.00
STORE_BLR_002,TXN_00036,2026-03-08T18:16:45Z,3080.00
STORE_BLR_002,TXN_00037,2026-03-08T18:28:20Z,1570.00
STORE_BLR_002,TXN_00038,2026-03-08T18:42:55Z,690.00
STORE_BLR_002,TXN_00039,2026-03-08T18:58:10Z,2460.00
STORE_BLR_002,TXN_00040,2026-03-08T19:12:30Z,4230.00
STORE_BLR_002,TXN_00041,2026-03-08T19:25:48Z,1080.00
STORE_BLR_002,TXN_00042,2026-03-08T19:38:15Z,3540.00
STORE_BLR_002,TXN_00043,2026-03-08T19:52:40Z,1420.00
STORE_BLR_002,TXN_00044,2026-03-08T20:05:18Z,2150.00
STORE_BLR_002,TXN_00045,2026-03-08T20:18:35Z,870.00
STORE_BLR_002,TXN_00046,2026-03-08T20:32:50Z,1690.00
STORE_BLR_002,TXN_00047,2026-03-08T20:45:22Z,3290.00
STORE_BLR_002,TXN_00048,2026-03-08T20:52:10Z,1830.00
STORE_BLR_002,TXN_00049,2026-03-08T20:55:40Z,2580.00
STORE_BLR_002,TXN_00050,2026-03-08T20:58:30Z,710.00
